nodename,issid,nodesize,straintype,color,human,plant,soil,water,unknown,others
Partial-s68-r(7):b227,0,5,2,nan,0,1,2,1,1,0
Partial-s68-r(6):b228,0,1,2,nan,0,0,1,0,0,0
Partial-s68-r(4):b229,0,1,2,nan,0,0,0,0,1,0
Partial-s68-r(6):b230,0,4,2,nan,0,1,1,1,1,0
Partial-s68-r(5):b231,0,1,2,nan,0,0,1,0,0,0
Partial-s68-r(5):b232,0,1,2,nan,0,0,0,0,1,0
Partial-s68-r(4):b233,0,1,2,nan,0,0,0,0,1,0
Pure-s68:b234,0,1,1,nan,0,0,1,0,0,0
Partial-s68-r(3):b235,0,1,2,nan,0,0,1,0,0,0
Partial-s68-r(2):b236,0,7,2,nan,0,0,3,0,4,0
Partial-s69-r(16):b237,0,1,2,nan,0,0,0,0,1,0
Partial-s69-r(15):b238,0,1,2,nan,0,0,0,0,0,1
Partial-s70-r(8):b239,0,1,2,nan,0,0,1,0,0,0
Partial-s70-r(8):b240,0,1,2,nan,0,1,0,0,0,0
Partial-s70-r(2):b241,0,1,2,nan,1,0,0,0,0,0
Partial-s70-r(5):b242,0,1,2,nan,0,0,1,0,0,0
Partial-s70-r(5):b243,0,8,2,nan,0,0,6,1,1,0
Pure-s70:b244,0,7,1,nan,0,0,4,1,2,0
Partial-s72-r(4):b245,0,2,2,nan,0,1,1,0,0,0
Partial-s72-r(6):b246,0,2,2,nan,0,0,0,1,1,0
Partial-s72-r(2):b247,0,3,2,nan,0,1,0,0,2,0
Partial-s72-r(3):b248,0,1,2,nan,0,0,0,0,1,0
Partial-s72-r(2):b249,0,2,2,nan,0,0,0,0,1,1
Partial-s72-r(5):b250,0,1,2,nan,0,0,0,0,1,0
Partial-s72-r(6):b251,0,2,2,nan,1,0,0,0,1,0
Partial-s72-r(6):b252,0,1,2,nan,1,0,0,0,0,0
Partial-s72-r(6):b253,0,1,2,nan,0,0,1,0,0,0
Partial-s72-r(2):b254,0,2,2,nan,0,0,0,1,1,0
Partial-s72-r(2):b255,0,3,2,nan,0,0,1,0,2,0
Pure-s72:b256,0,6,1,nan,0,2,1,0,2,1
Partial-s75-r(3):b257,0,1,2,nan,0,0,0,0,1,0
Pure-s75:b258,0,1,1,nan,1,0,0,0,0,0
Partial-s76-r(14):b259,0,1,2,nan,0,1,0,0,0,0
Partial-s76-r(11):b260,0,2,2,nan,0,1,0,0,1,0
Partial-s76-r(11):b261,0,1,2,nan,0,1,0,0,0,0
Partial-s76-r(9):b262,0,1,2,nan,0,0,0,1,0,0
Partial-s76-r(3):b263,0,1,2,nan,0,0,0,0,1,0
Pure-s76:b264,0,11,1,nan,2,0,3,0,5,1
Partial-s76-r(2):b265,0,3,2,nan,1,0,2,0,0,0
