rec,groupid,straintype,candself,nearesttype,color
438,3,1,1,PAM18-2643(2),#FF0000
439,39,1,1,PALES-28981(3),#7F007F
440,3,1,1,PAM18-2643(2),#FF0000
441,3,1,1,PAM18-2643(2),#FF0000
442,3,1,1,PAM18-2643(2),#FF0000
443,3,1,1,PAM18-2643(2),#FF0000
444,3,1,1,PAM18-2643(2),#FF0000
445,91,1,1,N296-2471(1),#FF00FF
446,3,1,1,PAM18-2643(2),#FF0000
447,3,1,1,PAM18-2643(2),#FF0000
448,3,1,1,PAM18-2643(2),#FF0000
449,3,1,1,PAM18-2643(2),#FF0000
450,91,1,1,N296-2471(1),#FF00FF
451,3,1,1,PAM18-2643(2),#FF0000
452,39,1,1,PALES-28981(3),#7F007F
453,3,1,1,PAM18-2643(2),#FF0000
454,91,1,1,N296-2471(1),#FF00FF
455,91,1,1,N296-2471(1),#FF00FF
456,91,1,1,N296-2471(1),#FF00FF
457,39,1,1,PALES-28981(3),#7F007F
458,39,1,1,PALES-28981(3),#7F007F
459,3,1,1,PAM18-2643(2),#FF0000
460,3,1,1,PAM18-2643(2),#FF0000
461,91,1,1,N296-2471(1),#FF00FF
462,3,1,1,PAM18-2643(2),#FF0000
463,91,1,1,N296-2471(1),#FF00FF
464,3,1,1,PAM18-2643(2),#FF0000
465,3,1,1,PAM18-2643(2),#FF0000
466,39,1,1,PALES-28981(3),#7F007F
467,39,1,1,PALES-28981(3),#7F007F
468,39,1,1,PALES-28981(3),#7F007F
469,91,1,1,N296-2471(1),#FF00FF
470,91,1,1,N296-2471(1),#FF00FF
471,91,1,1,N296-2471(1),#FF00FF
472,91,1,1,N296-2471(1),#FF00FF
473,3,1,1,PAM18-2643(2),#FF0000
474,91,1,1,N296-2471(1),#FF00FF
475,91,1,1,N296-2471(1),#FF00FF
476,3,1,1,PAM18-2643(2),#FF0000
477,3,1,1,PAM18-2643(2),#FF0000
478,3,1,1,PAM18-2643(2),#FF0000
479,3,1,1,PAM18-2643(2),#FF0000
480,39,1,1,PALES-28981(3),#7F007F
481,3,1,1,PAM18-2643(2),#FF0000
482,3,1,1,PAM18-2643(2),#FF0000
483,3,1,1,PAM18-2643(2),#FF0000
484,3,1,1,PAM18-2643(2),#FF0000
485,3,1,1,PAM18-2643(2),#FF0000
486,39,1,0,PALES-28981(3),#7F007F
487,3,1,1,PAM18-2643(2),#FF0000
488,3,1,1,PAM18-2643(2),#FF0000
489,3,1,1,PAM18-2643(2),#FF0000
490,3,1,0,PAM18-2643(2),#FF0000
491,91,1,1,N296-2471(1),#FF00FF
492,91,1,1,N296-2471(1),#FF00FF
493,39,1,0,PALES-28981(3),#7F007F
494,39,1,1,PALES-28981(3),#7F007F
495,3,1,1,PAM18-2643(2),#FF0000
496,3,1,1,PAM18-2643(2),#FF0000
497,91,1,1,N296-2471(1),#FF00FF
498,3,1,1,PAM18-2643(2),#FF0000
499,3,1,1,PAM18-2643(2),#FF0000
500,3,1,1,PAM18-2643(2),#FF0000
501,91,1,1,N296-2471(1),#FF00FF
502,91,1,1,N296-2471(1),#FF00FF
503,3,1,1,PAM18-2643(2),#FF0000
504,91,1,1,N296-2471(1),#FF00FF
505,91,1,1,N296-2471(1),#FF00FF
506,91,1,1,N296-2471(1),#FF00FF
507,35,1,1,,#00FFFF
508,35,1,1,,#00FFFF
509,35,1,1,,#00FFFF
510,35,1,1,,#00FFFF
511,35,1,1,,#00FFFF
512,35,1,1,,#00FFFF
513,35,1,1,,#00FFFF
514,35,1,1,,#00FFFF
515,35,1,1,,#00FFFF
516,35,1,1,,#00FFFF
517,35,1,1,,#00FFFF
518,35,1,1,,#00FFFF
519,35,1,1,,#00FFFF
520,35,1,1,,#00FFFF
521,35,1,1,,#00FFFF
522,91,1,1,PseBG33-2445(NaN),#FF00FF
523,91,1,1,PFLU2545(NaN),#FF00FF
524,90,1,1,,#0000CD
525,76,1,1,,#2E8B57
526,76,1,1,,#2E8B57
527,76,1,1,,#2E8B57
528,76,1,0,,#2E8B57
529,35,1,1,,#00FFFF
530,35,1,1,,#00FFFF
531,35,1,1,,#00FFFF
532,35,1,1,,#00FFFF
533,35,1,1,,#00FFFF
534,35,1,1,,#00FFFF
535,35,1,1,,#00FFFF
536,90,1,1,,#0000CD
537,90,1,1,,#0000CD
538,36,1,1,PflQ2-1672(NaN),#DDA0DD
539,35,1,1,,#00FFFF
540,35,1,1,,#00FFFF
541,68,1,1,PchlO6-4229(NaN),#F08080
542,35,1,1,,#00FFFF
543,35,1,1,,#00FFFF
544,35,1,1,,#00FFFF
545,3,1,1,,#FF0000
546,72,1,1,,#4169E1
547,94,1,1,,#7FFF00
548,91,1,1,PFLU2545(NaN),#FF00FF
549,94,1,1,,#7FFF00
550,3,1,1,,#FF0000
551,90,1,1,,#0000CD
552,92,1,1,PputUW4-01566(NaN),#FF8C00
553,91,1,1,PFLU2545(NaN),#FF00FF
554,91,1,1,PFLU2545(NaN),#FF00FF
555,90,1,1,,#0000CD
556,37,1,1,,#00BFFF
557,3,1,1,,#FF0000
558,92,1,1,PputUW4-01566(NaN),#FF8C00
559,3,1,1,,#FF0000
560,94,1,1,,#7FFF00
561,91,1,0,PFLU2545(NaN),#FF00FF
562,91,1,0,N296-2471(1),#FF00FF
563,36,1,1,PflQ2-1672(NaN),#DDA0DD
564,37,1,1,,#00BFFF
565,36,1,1,PflQ2-1672(NaN),#DDA0DD
566,94,1,1,,#7FFF00
567,92,1,1,PputUW4-01566(NaN),#FF8C00
568,94,1,1,,#7FFF00
569,37,1,1,,#00BFFF
570,35,1,1,,#00FFFF
571,36,1,1,PflQ2-1672(NaN),#DDA0DD
572,94,1,1,,#7FFF00
573,90,1,1,,#0000CD
574,90,1,1,,#0000CD
575,36,1,1,PflQ2-1672(NaN),#DDA0DD
576,90,1,1,,#0000CD
577,36,1,1,PflQ2-1672(NaN),#DDA0DD
578,92,1,1,PputUW4-01566(NaN),#FF8C00
579,92,1,1,PputUW4-01566(NaN),#FF8C00
580,90,1,1,,#0000CD
581,94,1,1,,#7FFF00
582,36,1,1,PflQ2-1672(NaN),#DDA0DD
583,94,1,1,,#7FFF00
584,36,1,1,PflQ2-1672(NaN),#DDA0DD
585,36,1,1,PflQ2-1672(NaN),#DDA0DD
586,94,1,1,,#7FFF00
587,36,1,1,PflQ2-1672(NaN),#DDA0DD
588,36,1,1,PflQ2-1672(NaN),#DDA0DD
589,80,1,1,,#808000
590,35,1,1,,#00FFFF
591,35,1,1,,#00FFFF
592,35,1,1,,#00FFFF
593,90,1,1,,#0000CD
594,94,1,1,,#7FFF00
595,3,1,1,,#FF0000
596,37,1,1,,#00BFFF
597,3,1,1,,#FF0000
598,94,1,0,,#7FFF00
599,90,1,1,,#0000CD
600,94,1,1,,#7FFF00
601,94,1,1,,#7FFF00
602,94,1,1,,#7FFF00
603,3,1,1,,#FF0000
604,94,1,1,,#7FFF00
605,94,1,1,,#7FFF00
606,36,1,1,PflQ2-1672(NaN),#DDA0DD
607,90,1,0,,#0000CD
608,90,1,0,,#0000CD
609,90,1,1,,#0000CD
610,90,1,1,,#0000CD
611,90,1,1,,#0000CD
612,90,1,1,,#0000CD
